%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209360, 2015/04/14 20:12:28.61)
1 9 -5.688661647766460339e-12 0 0 -2.566666e+00 -2.032851e+00 1.826727e+00 -5.683317e-01 
2 17 -2.210662610392359639e-12 0 0 -2.203052e+00 -1.189505e+00 3.319455e+00 3.578065e-02 
3 25 -1.000000000000000000e+04 0 0 -4.245730e+00 -3.150504e+00 6.387959e-01 9.148300e-01 
4 33 -1.000000000000000000e+04 0 0 -3.470735e+00 -4.507674e+00 2.996458e-01 3.906967e-01 
5 41 -1.000000000000000000e+04 0 0 -5.028142e+00 -3.233099e+00 6.711385e-01 1.145453e+00 
6 49 -1.000000000000000000e+04 0 0 -3.976276e+00 -5.392183e+00 8.489184e-01 3.768464e-01 
7 57 -1.000000000000000000e+04 0 0 -3.172989e+00 -5.420937e+00 6.618189e-01 1.147033e+00 
8 65 -1.000000000000000000e+04 0 0 -3.348788e+00 -4.521489e+00 1.128505e+00 1.704375e+00 
9 73 -1.000000000000000000e+04 0 0 -3.433227e+00 -3.719661e+00 2.041795e+00 2.478862e+00 
10 81 -1.000000000000000000e+04 0 0 -3.860960e+00 -3.542132e+00 2.084297e+00 1.492003e+00 
11 89 -1.000000000000000000e+04 0 0 -4.672636e+00 -3.780400e+00 1.458745e+00 3.447498e-02 
