%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215138, 2015/04/14 21:44:53.39)
1 9 1.408931e+00 0 0 1.383324e+00 1.372360e+00 1.416849e+00 1.570796e+00 
2 17 1.389120e+00 0 0 1.336359e+00 1.327422e+00 1.570796e+00 1.535237e+00 
3 25 1.293460e+00 0 0 1.185524e+00 1.199363e+00 1.450928e+00 1.422601e+00 
4 33 1.114626e+00 0 0 9.949784e-01 1.050904e+00 1.236517e+00 1.159391e+00 
5 41 1.132795e+00 0 0 1.138927e+00 1.025090e+00 1.218703e+00 1.113347e+00 
6 49 1.205636e+00 0 0 1.185138e+00 1.200684e+00 1.242812e+00 1.117817e+00 
7 57 1.140879e+00 0 0 1.103873e+00 1.112236e+00 1.121724e+00 9.991832e-01 
8 65 1.056730e+00 0 0 1.066906e+00 9.751173e-01 9.820042e-01 9.093060e-01 
9 73 1.074090e+00 0 0 1.059882e+00 1.002596e+00 1.007756e+00 8.734641e-01 
10 81 9.497682e-01 0 0 9.556252e-01 8.568073e-01 8.626515e-01 7.514807e-01 
11 89 1.030784e+00 0 0 1.110636e+00 9.546039e-01 8.880294e-01 8.330412e-01 
12 97 1.186515e+00 0 0 1.286739e+00 1.154317e+00 1.008806e+00 1.060804e+00 
13 105 1.153587e+00 0 0 1.227305e+00 1.081944e+00 9.639357e-01 9.855878e-01 
14 113 1.052845e+00 0 0 1.068045e+00 9.696420e-01 8.411364e-01 8.541067e-01 
15 121 8.790280e-01 0 0 8.399789e-01 7.658287e-01 6.788498e-01 6.942907e-01 
16 129 6.791819e-01 0 0 6.123829e-01 5.621438e-01 4.994291e-01 5.064588e-01 
17 137 7.196051e-01 0 0 6.107000e-01 6.350052e-01 5.486739e-01 5.652145e-01 
18 145 5.938125e-01 0 0 4.788905e-01 5.147896e-01 4.356747e-01 4.452544e-01 
19 153 6.978874e-01 0 0 5.341471e-01 6.191768e-01 4.851644e-01 5.477946e-01 
