%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213790, 2015/04/14 19:57:28.90)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -3.622738e+00 -1.245133e+00 -2.817208e-01 -4.810791e-01 
2 17 0 0 0 -2.298448e+00 -1.480690e+00 -1.195285e+00 -1.197483e+00 
3 25 0 0 0 -2.410912e+00 -3.053129e+00 -1.115527e+00 -1.130568e+00 
4 33 0 0 0 -3.593958e+00 -2.355752e+00 -1.150289e+00 -1.949845e+00 
5 41 0 0 0 -2.183003e+00 -1.423231e+00 -1.135101e+00 -1.323956e+00 
6 49 0 0 0 -1.985563e+00 -1.356559e+00 -1.651827e+00 -7.883226e-01 
7 57 0 0 0 -2.521485e+00 -1.258268e+00 -1.678007e+00 -1.615718e+00 
8 65 0 0 0 -2.908965e+00 -1.449538e+00 -1.943824e+00 -1.758520e+00 
9 73 0 0 0 -2.405389e+00 -8.095646e-01 -1.218869e+00 -1.657658e+00 
