%  columns="iteration, evaluation, void, void, void, xmean" (startseed=208744, 2015/04/23 19:23:3.44)
0 1 0 0 0 -1.031423e+00 -3.141593e+00 -3.141593e+00 -2.044862e+00 
1 9 0 0 0 -6.458184e-01 -2.689456e+00 -3.047645e+00 -2.893105e+00 
2 17 0 0 0 -1.418313e+00 -3.052986e+00 -2.837826e+00 -3.094629e+00 
3 25 0 0 0 -1.271970e+00 -1.896392e+00 -3.433500e+00 -2.999215e+00 
4 33 0 0 0 -8.343884e-01 -2.038083e+00 -3.668431e+00 -3.143549e+00 
5 41 0 0 0 -6.903005e-01 -1.935320e+00 -2.728010e+00 -2.759691e+00 
6 49 0 0 0 -2.440504e-01 -1.206433e+00 -2.629206e+00 -2.055566e+00 
7 57 0 0 0 -2.370475e-01 -1.921718e+00 -2.307505e+00 -1.947040e+00 
8 65 0 0 0 -6.937006e-01 -1.710438e+00 -2.805541e+00 -2.130553e+00 
9 73 0 0 0 -1.034970e+00 -1.716142e+00 -2.858928e+00 -1.750537e+00 
10 81 0 0 0 -1.520357e+00 -1.371125e+00 -2.295697e+00 -1.247551e+00 
