%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209207, 2015/04/23 20:5:25.08)
1 9 1.495375e+00 0 0 1.451519e+00 1.532975e+00 1.433207e+00 1.570796e+00 
2 17 1.269930e+00 0 0 1.176332e+00 1.262360e+00 1.161730e+00 1.291265e+00 
3 25 1.208159e+00 0 0 1.102799e+00 1.142788e+00 1.135680e+00 1.175200e+00 
4 33 1.196324e+00 0 0 1.124923e+00 1.077218e+00 1.071913e+00 1.195380e+00 
5 41 1.080113e+00 0 0 1.018639e+00 9.419332e-01 9.105210e-01 1.062356e+00 
6 49 8.970046e-01 0 0 8.049433e-01 7.611583e-01 7.149906e-01 8.372025e-01 
7 57 7.975329e-01 0 0 6.884226e-01 6.563313e-01 6.260412e-01 7.083768e-01 
8 65 7.130608e-01 0 0 6.087960e-01 5.621128e-01 5.471552e-01 6.018886e-01 
9 73 7.285931e-01 0 0 6.477914e-01 5.644308e-01 5.459273e-01 5.799412e-01 
10 81 6.587170e-01 0 0 5.903080e-01 5.153956e-01 4.689495e-01 4.973555e-01 
