%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209207, 2015/04/23 20:5:25.08)
1 9 -1.000000000000000000e+04 0 0 1.350957e+00 -1.045737e+00 4.994869e-03 7.585965e-01 
2 17 -1.000000000000000000e+04 0 0 7.241451e-01 -2.939780e+00 1.814266e-02 3.929640e-01 
3 25 -9.333199127305172385e-12 0 0 -7.802691e-01 -1.942646e+00 -2.412480e+00 -1.231479e-02 
4 33 -9.746057442835917070e-12 0 0 -1.893995e+00 -2.982825e+00 -8.028710e-01 -2.355752e+00 
5 41 -1.078567134266454900e-11 0 0 -2.722523e+00 -4.660836e+00 -1.244040e+00 -1.963403e+00 
6 49 -1.942660708260270232e-11 0 0 -1.686189e+00 -1.946955e+00 -1.325087e+00 -6.252222e-01 
7 57 -3.945247238530002711e-11 0 0 -9.400669e-01 -1.907766e+00 -2.111983e+00 -1.517599e+00 
8 65 -2.799650963475633442e-11 0 0 -7.504726e-01 -2.264056e+00 -1.577819e+00 -9.940935e-01 
9 73 -2.489060771716379030e-11 0 0 -6.183560e-01 -1.844044e+00 -2.129154e+00 -1.267914e+00 
10 81 -2.822267536677638806e-11 0 0 -1.681880e+00 -2.545099e+00 -1.974069e+00 -1.277731e+00 
