%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211121, 2015/04/14 9:11:58.21)
1 9 4.269039e-01 0 0 4.146818e-01 4.051043e-01 4.162480e-01 4.096051e-01 
2 17 4.530856e-01 0 0 4.285563e-01 4.577235e-01 4.327217e-01 4.453011e-01 
3 25 4.293872e-01 0 0 4.016694e-01 5.000000e-01 3.894474e-01 4.454670e-01 
4 33 3.723417e-01 0 0 3.817152e-01 5.000000e-01 3.336322e-01 3.879666e-01 
5 41 3.726280e-01 0 0 3.688357e-01 5.000000e-01 3.312866e-01 3.675025e-01 
6 49 3.592847e-01 0 0 3.433641e-01 4.719257e-01 3.216968e-01 3.426776e-01 
7 57 3.192734e-01 0 0 2.911594e-01 3.992255e-01 2.742327e-01 2.898128e-01 
8 65 2.460430e-01 0 0 2.122604e-01 2.948116e-01 2.015750e-01 2.133279e-01 
9 73 2.516381e-01 0 0 2.175250e-01 2.886979e-01 1.991330e-01 2.422946e-01 
10 81 2.660330e-01 0 0 2.237948e-01 2.947070e-01 2.346467e-01 2.572468e-01 
11 89 2.478223e-01 0 0 2.071847e-01 2.613758e-01 2.096584e-01 2.312676e-01 
12 97 2.383252e-01 0 0 2.008932e-01 2.388914e-01 1.998345e-01 2.150913e-01 
13 105 1.988276e-01 0 0 1.600596e-01 1.884327e-01 1.579983e-01 1.693483e-01 
14 113 1.882339e-01 0 0 1.460692e-01 1.849670e-01 1.437613e-01 1.534434e-01 
15 121 1.578613e-01 0 0 1.184429e-01 1.503609e-01 1.180000e-01 1.288887e-01 
16 129 1.448375e-01 0 0 1.117848e-01 1.319247e-01 1.043835e-01 1.156989e-01 
17 137 1.491141e-01 0 0 1.213136e-01 1.308685e-01 1.013137e-01 1.382519e-01 
18 145 1.353453e-01 0 0 1.051326e-01 1.176019e-01 8.768122e-02 1.273738e-01 
19 153 1.323273e-01 0 0 9.833895e-02 1.144246e-01 8.336608e-02 1.187507e-01 
20 161 1.565626e-01 0 0 1.222341e-01 1.298982e-01 9.760405e-02 1.767787e-01 
21 169 1.530685e-01 0 0 1.262620e-01 1.267122e-01 9.575221e-02 1.833480e-01 
22 177 1.396592e-01 0 0 1.097118e-01 1.169791e-01 8.281923e-02 1.587658e-01 
23 185 1.085998e-01 0 0 8.138996e-02 8.600440e-02 6.274699e-02 1.166462e-01 
24 193 9.331737e-02 0 0 7.159626e-02 7.060102e-02 5.375963e-02 1.016364e-01 
25 201 8.844082e-02 0 0 6.910546e-02 6.390972e-02 4.944998e-02 9.247188e-02 
26 209 8.684833e-02 0 0 7.016341e-02 7.012622e-02 4.869250e-02 8.926584e-02 
27 217 8.660056e-02 0 0 6.746150e-02 6.918374e-02 4.767236e-02 8.512456e-02 
28 225 8.037884e-02 0 0 6.156414e-02 6.571989e-02 4.277959e-02 7.602994e-02 
29 233 1.011569e-01 0 0 8.566969e-02 8.027524e-02 5.546551e-02 9.338719e-02 
30 241 1.296372e-01 0 0 1.321331e-01 9.805475e-02 7.023742e-02 1.268451e-01 
31 249 1.340069e-01 0 0 1.355173e-01 9.732738e-02 7.832417e-02 1.269298e-01 
32 257 1.262968e-01 0 0 1.216641e-01 9.526125e-02 7.069983e-02 1.145007e-01 
33 265 1.625244e-01 0 0 1.502427e-01 1.236188e-01 1.169237e-01 1.427355e-01 
34 273 2.133528e-01 0 0 1.939462e-01 1.671541e-01 1.620466e-01 1.830277e-01 
35 281 2.324979e-01 0 0 2.038454e-01 1.780207e-01 1.685848e-01 1.974484e-01 
36 289 2.332139e-01 0 0 1.943362e-01 1.801717e-01 1.608466e-01 1.968120e-01 
37 297 2.190456e-01 0 0 1.927511e-01 1.658739e-01 1.461967e-01 1.809617e-01 
38 305 2.270644e-01 0 0 1.912937e-01 1.685872e-01 1.511396e-01 1.875277e-01 
