%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211121, 2015/04/14 9:11:58.21)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 9 0 0 0 7.186020e-01 9.907043e-01 8.927199e-01 8.221229e-01 
2 17 0 0 0 6.203797e-01 1.434635e+00 1.101100e+00 4.946122e-01 
3 25 0 0 0 4.415441e-01 5.629649e-01 1.000676e+00 1.631620e-01 
4 33 0 0 0 2.575043e-02 2.211443e-02 8.392212e-01 1.431405e-01 
5 41 0 0 0 1.709041e-01 -8.188280e-02 6.459134e-01 1.744688e-01 
6 49 0 0 0 2.752463e-01 -4.447050e-03 4.734671e-01 4.986447e-02 
7 57 0 0 0 1.670804e-01 2.110491e-01 4.723009e-01 4.183532e-03 
8 65 0 0 0 1.896201e-01 2.089730e-01 5.016521e-01 6.820787e-02 
9 73 0 0 0 5.065240e-02 1.131765e-01 4.432751e-01 -2.248215e-01 
10 81 0 0 0 2.120474e-01 2.380793e-02 2.008316e-01 3.340686e-02 
11 89 0 0 0 3.187110e-01 -2.126064e-02 2.299447e-01 6.025882e-02 
12 97 0 0 0 4.343037e-01 -5.053605e-03 3.785251e-01 1.316496e-01 
13 105 0 0 0 4.325047e-01 -3.304410e-02 2.993721e-01 1.169637e-01 
14 113 0 0 0 4.845289e-01 1.713607e-01 3.754456e-01 8.573054e-02 
15 121 0 0 0 3.857449e-01 6.754379e-02 3.373176e-01 -4.492968e-05 
16 129 0 0 0 3.079068e-01 9.372761e-02 3.673750e-01 3.467643e-02 
17 137 0 0 0 2.338417e-01 6.453655e-02 3.634764e-01 -1.190232e-01 
18 145 0 0 0 2.911473e-01 1.527112e-01 3.557149e-01 4.653986e-02 
19 153 0 0 0 3.345267e-01 2.153128e-01 3.062047e-01 2.858231e-02 
20 161 0 0 0 4.151283e-01 1.681817e-01 3.713424e-01 2.484471e-01 
21 169 0 0 0 2.458644e-01 2.162753e-01 4.287325e-01 -2.679915e-02 
22 177 0 0 0 3.013526e-01 9.750688e-02 4.148002e-01 5.281545e-02 
23 185 0 0 0 3.268851e-01 1.245731e-01 3.874655e-01 7.412927e-02 
24 193 0 0 0 2.835324e-01 1.600282e-01 4.252994e-01 6.134904e-02 
25 201 0 0 0 2.290418e-01 1.443904e-01 4.413969e-01 2.367878e-02 
26 209 0 0 0 3.084002e-01 2.168514e-01 4.471431e-01 9.483455e-02 
27 217 0 0 0 3.175746e-01 2.404188e-01 4.693413e-01 6.727892e-02 
28 225 0 0 0 2.731851e-01 1.637243e-01 4.742007e-01 5.463243e-02 
29 233 0 0 0 1.997479e-01 2.083683e-01 4.255191e-01 1.986002e-02 
30 241 0 0 0 9.157899e-02 2.118311e-01 4.054081e-01 -6.136944e-02 
31 249 0 0 0 2.453211e-01 1.767803e-01 3.507738e-01 1.412641e-02 
32 257 0 0 0 2.487172e-01 8.496216e-02 3.593020e-01 2.320804e-02 
33 265 0 0 0 2.859047e-01 6.037846e-02 2.311131e-01 -3.956785e-02 
34 273 0 0 0 1.831054e-01 9.425426e-02 1.095694e-01 -3.992582e-02 
35 281 0 0 0 2.575858e-01 2.171333e-02 1.067960e-01 1.038758e-01 
36 289 0 0 0 2.539551e-01 1.743945e-01 1.440274e-01 1.747276e-01 
37 297 0 0 0 4.545258e-01 9.721535e-02 2.057233e-01 2.350249e-01 
38 305 0 0 0 3.939580e-01 9.718073e-02 2.897323e-01 6.214379e-02 
39 313 0 0 0 4.444783e-01 2.231859e-01 4.129634e-01 1.856229e-01 
40 321 0 0 0 4.186226e-01 1.265561e-01 4.005254e-01 1.969699e-01 
41 329 0 0 0 3.666786e-01 2.307104e-01 3.697261e-01 1.358024e-01 
42 337 0 0 0 2.887527e-01 2.559061e-01 3.364503e-01 4.106269e-02 
43 345 0 0 0 3.292511e-01 2.014851e-01 3.386512e-01 1.010292e-01 
44 353 0 0 0 3.488632e-01 2.331001e-01 2.864926e-01 7.451225e-02 
45 361 0 0 0 4.427244e-01 2.475785e-01 2.382582e-01 6.032181e-02 
46 369 0 0 0 4.253203e-01 2.559641e-01 1.405322e-01 4.208322e-03 
47 377 0 0 0 4.518016e-01 1.390375e-01 7.540419e-02 8.021173e-02 
48 385 0 0 0 3.852996e-01 9.273678e-02 7.615586e-02 1.671684e-01 
49 393 0 0 0 4.430745e-01 7.005809e-02 1.516114e-01 2.224198e-01 
50 401 0 0 0 4.609396e-01 1.462514e-02 3.601185e-02 2.061451e-01 
51 409 0 0 0 4.233937e-01 4.932656e-02 7.171984e-02 1.840209e-01 
52 417 0 0 0 4.684581e-01 3.613501e-02 5.407231e-02 2.252156e-01 
53 425 0 0 0 5.030268e-01 5.015501e-02 6.808347e-02 2.400518e-01 
54 433 0 0 0 4.832601e-01 1.119980e-01 1.107094e-01 2.567686e-01 
55 441 0 0 0 4.553521e-01 1.819300e-01 1.842025e-01 2.672024e-01 
