%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211121, 2015/04/14 9:11:58.21)
1 9 -1.358351866738272662e+01 0 0 7.578208e-01 1.100311e+00 5.135710e-01 5.932504e-01 
2 17 -1.249696444079581248e+01 0 0 4.198281e-01 1.244229e+00 1.456413e+00 5.013490e-01 
3 25 -4.238179419950670734e+01 0 0 1.852271e-01 5.740070e-01 1.166878e+00 -9.493411e-03 
4 33 -8.100594682524697987e+01 0 0 -2.080374e-01 -2.370299e-01 5.928672e-01 5.814565e-01 
5 41 -1.091435972495244044e+02 0 0 -8.274919e-01 -6.142771e-01 4.898214e-01 -8.510035e-01 
6 49 -9.912126639639640757e+01 0 0 1.791014e-01 -7.303341e-01 2.481954e-01 -3.145509e-01 
7 57 -1.081179957502321543e+02 0 0 5.928611e-03 1.957682e-01 5.088050e-01 5.871444e-02 
8 65 -1.045509384832445789e+02 0 0 2.623227e-01 -2.369865e-01 2.639826e-01 -2.354354e-01 
9 73 -1.167278644877992662e+02 0 0 -9.751359e-02 1.791686e-03 5.758003e-01 -3.371346e-01 
10 81 -1.061546503614410426e+02 0 0 -1.188833e-02 -2.249299e-01 5.099911e-01 -4.036088e-01 
11 89 -1.119759271408267409e+02 0 0 4.437302e-02 2.972004e-01 1.937470e-01 -5.294495e-01 
12 97 -1.014794507606184197e+02 0 0 3.629966e-01 -1.199804e-01 5.690421e-01 1.876761e-01 
13 105 -1.126717934522143167e+02 0 0 4.792577e-01 -8.698567e-02 2.715701e-01 1.178480e-01 
14 113 -1.079524867684503562e+02 0 0 4.674501e-01 2.416322e-01 4.334397e-01 1.048039e-01 
15 121 -1.090580393870547340e+02 0 0 3.441247e-01 -7.965727e-02 1.869533e-01 -1.128378e-01 
16 129 -1.171027670070913302e+02 0 0 1.885431e-01 1.440097e-01 4.566671e-01 -6.723293e-02 
17 137 -1.194808648811199845e+02 0 0 1.514079e-01 -3.579917e-02 3.540853e-01 -2.810562e-01 
18 145 -1.125659016493254825e+02 0 0 3.417036e-01 1.363132e-01 3.374156e-01 9.133022e-03 
19 153 -1.067616375103054480e+02 0 0 3.317616e-01 1.877680e-01 3.149091e-01 -1.501789e-02 
20 161 -1.140616636204270691e+02 0 0 5.075934e-01 1.002660e-01 3.593131e-01 3.277430e-01 
21 169 -1.101504823352561004e+02 0 0 3.446618e-01 -3.820763e-02 3.416637e-01 -1.584357e-01 
22 177 -1.087722911507595569e+02 0 0 2.466361e-01 5.725990e-02 3.969912e-01 8.076035e-03 
23 185 -1.049042111426928017e+02 0 0 3.770981e-01 9.086057e-02 3.131592e-01 7.760649e-02 
24 193 -1.143952201084536426e+02 0 0 1.689745e-01 1.520162e-01 3.766703e-01 -1.225665e-01 
25 201 -1.058933465828192197e+02 0 0 2.146406e-01 1.570498e-01 4.567544e-01 4.830771e-02 
26 209 -1.112641579641451557e+02 0 0 2.414373e-01 3.152641e-01 5.097286e-01 7.090962e-02 
27 217 -1.240211251242893411e+02 0 0 3.187732e-01 2.326892e-01 4.907365e-01 5.548997e-02 
28 225 -1.047470982458904984e+02 0 0 3.230270e-01 1.091726e-01 4.443185e-01 1.208591e-01 
29 233 -1.110071895798093351e+02 0 0 1.869902e-01 2.440300e-01 4.250347e-01 4.949597e-02 
30 241 -1.071224819369524539e+02 0 0 5.118397e-03 2.813487e-01 4.099489e-01 -1.776629e-01 
31 249 -1.196195086058075105e+02 0 0 2.184083e-01 1.142703e-01 3.360833e-01 -3.387647e-02 
32 257 -1.120393737583831921e+02 0 0 2.426961e-01 6.306551e-02 3.427832e-01 -2.222248e-02 
33 265 -1.196844724852078627e+02 0 0 3.109066e-01 2.009842e-02 1.557550e-01 -7.090695e-02 
34 273 -1.138829618137054922e+02 0 0 1.692239e-01 -2.738749e-04 1.344400e-02 -3.779297e-02 
35 281 -1.065260573220047746e+02 0 0 2.361571e-01 -9.895958e-02 1.771225e-02 -6.840757e-02 
36 289 -1.071964866001337953e+02 0 0 1.829968e-01 8.223687e-02 9.273548e-02 3.546005e-02 
37 297 -1.140437467211439895e+02 0 0 5.055446e-01 -7.938096e-02 2.707127e-01 1.723083e-01 
38 305 -1.065095540290420359e+02 0 0 1.877691e-01 -5.565875e-02 2.367786e-01 -3.540324e-02 
39 313 -1.217941619380729890e+02 0 0 4.422196e-01 4.014475e-01 4.813238e-01 2.110660e-01 
40 321 -1.202894202137761823e+02 0 0 5.030218e-01 1.257467e-01 4.664366e-01 2.040966e-01 
41 329 -1.004903268062489161e+02 0 0 3.733226e-01 2.420467e-01 2.661935e-01 2.402232e-01 
42 337 -1.117598175359805595e+02 0 0 3.207111e-01 2.338067e-01 3.597690e-01 7.750051e-02 
43 345 -1.066830036566261128e+02 0 0 4.063662e-01 1.743620e-01 1.393653e-01 7.716913e-02 
44 353 -9.881710225194029817e+01 0 0 4.309824e-01 2.056897e-01 2.815277e-01 9.690907e-02 
45 361 -1.126372132109929680e+02 0 0 5.145324e-01 2.447627e-01 2.509176e-01 6.504805e-02 
46 369 -1.041534082975269087e+02 0 0 4.629302e-01 2.012667e-01 4.716732e-02 1.096708e-02 
47 377 -1.241197680821708644e+02 0 0 4.743631e-01 1.699247e-01 6.824342e-02 1.110416e-01 
48 385 -1.098156496388797763e+02 0 0 3.499252e-01 1.617762e-01 1.423298e-01 1.721866e-01 
49 393 -1.131593255554656992e+02 0 0 4.980328e-01 -2.059951e-02 2.265455e-01 2.088713e-01 
50 401 -1.059278351383000540e+02 0 0 4.692699e-01 3.852342e-02 -1.098187e-01 1.623772e-01 
51 409 -1.067267668018530742e+02 0 0 3.779397e-01 5.331985e-02 1.120352e-01 1.868058e-01 
52 417 -1.119166418585474787e+02 0 0 4.719654e-01 2.430489e-02 2.287314e-02 2.678664e-01 
53 425 -1.073154928086866278e+02 0 0 4.993212e-01 7.471878e-02 4.066693e-02 2.257625e-01 
54 433 -1.202159308701724143e+02 0 0 5.102612e-01 7.653046e-02 7.384391e-02 2.858853e-01 
55 441 -1.114968983920520884e+02 0 0 4.455367e-01 1.055892e-01 1.973426e-01 2.678317e-01 
56 449 -1.079320045933560124e+02 0 0 3.769548e-01 2.822162e-01 1.802666e-01 1.997831e-01 
57 457 -1.115948629919134731e+02 0 0 3.733753e-01 3.063102e-01 2.061659e-01 1.941981e-01 
58 465 -1.106864689756755382e+02 0 0 4.167977e-01 1.409770e-01 6.896669e-02 2.212624e-01 
59 473 -1.135661345617517526e+02 0 0 3.371167e-01 1.904609e-01 -9.454677e-03 1.781714e-01 
60 481 -1.058695006346511605e+02 0 0 3.355825e-01 9.889059e-02 -6.923643e-02 7.329295e-02 
61 489 -1.166303137938504335e+02 0 0 4.698106e-01 1.548512e-01 1.111499e-01 2.505224e-01 
62 497 -1.061560002461158660e+02 0 0 3.904251e-01 2.770871e-01 2.378031e-01 2.386245e-01 
63 505 -1.122304881268826762e+02 0 0 4.906926e-01 2.126007e-01 2.121065e-01 2.729754e-01 
64 513 -1.076254174897407694e+02 0 0 4.341277e-01 1.019589e-01 9.854288e-02 2.616034e-01 
65 521 -1.059440702154397513e+02 0 0 5.175800e-01 1.913293e-01 2.932979e-01 4.962476e-01 
66 529 -1.071189911922061384e+02 0 0 4.656642e-01 2.126125e-01 1.691414e-01 3.028549e-01 
