%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213957, 2015/04/17 23:45:35.58)
1 9 4.461798e-01 0 0 5.000000e-01 4.338108e-01 4.400601e-01 4.629349e-01 
2 17 4.006311e-01 0 0 4.334181e-01 3.717562e-01 4.070634e-01 3.996756e-01 
3 25 3.785426e-01 0 0 3.983578e-01 3.490894e-01 3.690214e-01 3.820015e-01 
4 33 4.145397e-01 0 0 4.125136e-01 3.624879e-01 4.886297e-01 3.953975e-01 
5 41 3.897176e-01 0 0 3.668211e-01 3.225477e-01 4.364919e-01 3.796450e-01 
6 49 2.964938e-01 0 0 2.698736e-01 2.367098e-01 3.262356e-01 2.767111e-01 
7 57 2.672475e-01 0 0 2.300889e-01 2.011780e-01 3.047864e-01 2.367511e-01 
8 65 2.761086e-01 0 0 2.332111e-01 2.249099e-01 3.115218e-01 2.348937e-01 
9 73 2.359921e-01 0 0 1.895176e-01 1.851956e-01 2.540385e-01 1.984033e-01 
10 81 2.271000e-01 0 0 1.873636e-01 1.759071e-01 2.405864e-01 1.816914e-01 
