%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213957, 2015/04/17 23:45:35.58)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 9 0 0 0 2.949255e-01 7.075506e-01 6.928903e-01 5.327770e-01 
2 17 0 0 0 4.513223e-01 7.873641e-01 5.125531e-01 7.094383e-01 
3 25 0 0 0 3.187265e-01 5.781560e-01 5.652540e-01 3.876495e-01 
4 33 0 0 0 4.128944e-01 6.248252e-01 1.218734e+00 4.526987e-01 
5 41 0 0 0 4.602752e-01 5.970425e-01 9.699819e-01 1.444029e-01 
6 49 0 0 0 4.679987e-01 6.482673e-01 8.591973e-01 4.105172e-01 
7 57 0 0 0 4.413931e-01 6.411040e-01 5.729985e-01 3.985368e-01 
8 65 0 0 0 3.279920e-01 3.873849e-01 4.931801e-01 4.211122e-01 
9 73 0 0 0 3.706574e-01 3.959070e-01 6.444547e-01 3.407932e-01 
10 81 0 0 0 1.968315e-01 3.097803e-01 4.725340e-01 3.750865e-01 
