%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213957, 2015/04/17 23:45:35.58)
1 9 -6.455869042304966854e+01 0 0 6.920412e-02 6.877915e-01 4.125253e-01 4.477301e-01 
2 17 -1.136090018581297727e+02 0 0 -7.285440e-01 1.182749e-01 -1.378205e-01 9.764564e-02 
3 25 -7.802265841069677776e+01 0 0 -2.164329e-01 5.407300e-01 7.366306e-01 2.331033e-01 
4 33 -8.630666451987585219e+01 0 0 -2.856570e-02 6.244051e-01 2.503905e-01 -5.386556e-02 
5 41 -9.219618742477726414e+01 0 0 -9.280281e-02 -3.796301e-01 2.186997e-01 -1.029860e-01 
6 49 -9.863808335645502723e+01 0 0 1.661995e-01 3.757765e-01 3.915608e-01 3.896161e-01 
7 57 -7.370084231250511664e+01 0 0 3.601815e-01 6.560281e-01 3.239186e-01 2.702629e-01 
8 65 -1.053310785917416865e+02 0 0 1.765874e-01 3.584522e-01 4.762673e-01 5.623103e-01 
9 73 -1.045097323866937273e+02 0 0 1.444155e-01 5.195765e-02 4.455058e-02 9.081214e-02 
10 81 -1.046305689199621582e+02 0 0 5.937827e-02 2.033639e-01 3.891235e-01 4.358827e-01 
